sentence,tag_3,tag_7
 উদ্বোধনের পর প্রথম দিনে এই কেন্দ্রে আটজন নারীকে চিকিৎসা ও পরামর্শ দেওয়া হয়,positive,positive
" রেজা সেলিম বলেন, ‘এই ক্যানসার নিরাময় কেন্দ্রের আশপাশে তিন কিলোমিটার এলাকা ওয়াই-ফাই ইন্টারনেটের আওতায় আনা হয়েছে",positive,positive
 দূরবর্তী অঞ্চলে দক্ষ চিকিৎসক সব সময় পাঠানো সম্ভব হয় না বলেই টেলিকনফারেন্সের মাধ্যমে রোগী দেখার ব্যবস্থা শুরু করেছি,positive,positive
’ আপাতত শুধু ক্যানসার শনাক্ত করা এবং প্রাথমিক চিকিৎসার ব্যবস্থা থাকলেও পাঁচ বছরের মধ্যে একটি তথ্যপ্রযুক্তিনির্ভর পূর্ণাঙ্গ একটি ক্যানসার নিরাময় কেন্দ্র এখানে গড়ে তোলা হবে বলে তিনি জানান,positive,mildly positive
 —মেহেদী হাসান,neutral,neutral
গুগলের অপারেটিং সিস্টেমের চেয়ে অ্যাপলের অপারেটিং সিস্টেমে অ্যাপ ক্র্যাশ বেশি হচ্ছে,neutral,neutral
 গুগলের অ্যান্ড্রয়েড অপারেটিং সিস্টেমের সর্বশেষ সংস্করণ অ্যান্ড্রয়েড ৫.০ বা ললিপপ সংস্করণ অ্যাপলের আইওএস ৮-এর তুলনায় কম ক্র্যাশ করে বলে দাবি করেছে প্রযুক্তি বিশ্লেষক প্রতিষ্ঠান ক্রিটারসিজম,neutral,neutral
" গবেষকেরা বলছেন, অ্যান্ড্রয়েড ললিপপে অ্যাপ ক্র্যাশের হার যেখানে ২ শতাংশ, সেখানে আইওএস ৮-এর ক্ষেত্রে এই হার ২.২ শতাংশ",neutral,neutral
 তবে অ্যাপ ক্র্যাশের হার বিবেচনায় ধরলে সবচেয়ে টেকসই সংস্করণ হচ্ছে অ্যাপলের আইওএস ৭,neutral,neutral
 এতে অ্যাপ ক্র্যাশ করার হার মাত্র ১.৯ শতাংশ,negative,negative
" গুগল দাবি করেছে, ললিপপ হচ্ছে গুগলের সবচেয়ে টেকসই বা স্থিতিশীল সংস্করণ",positive,mildly positive
" এর আগের কিটক্যাট, আইসক্রিম স্যান্ডউইচ উভয় ক্ষেত্রেই অ্যাপ ক্র্যাশের হার ছিল ২.৬ শতাংশ",negative,negative
" প্রযুক্তি বিশ্লেষকেরা অবশ্য বলছেন, অপারেটিং সিস্টেমের বিষয়টি ছাড়াও অ্যাপ ক্র্যাশের জন্য বাজে কোডিং ও স্মার্টফোনের কম র‌্যামও দায়ী হতে পারে",negative,negative
সামাজিক যোগাযোগের মাধ্যম কিংবা অনলাইনে মানুষ যথাযথ সঙ্গীই খোঁজে,neutral,neutral
" তাই নিজেকে তুলে ধরার সময় যাঁরা সফল, বিনয়ী ও সত্যনিষ্ঠ বৈশিষ্ট্যের পরিচয় দেন, তাঁদের জীবনসঙ্গী করার ব্যাপারে অন্যদের মধ্যে আগ্রহ বেশি দেখা যায়",positive,positive
 যুক্তরাষ্ট্রের আইওয়া বিশ্ববিদ্যালয়ের একদল গবেষক এ তথ্য দিয়েছেন,neutral,neutral
" তাঁদের মতে, ইন্টারনেটের মাধ্যমে যাঁরা জীবনসঙ্গীর খোঁজ করেন, তাঁরা কারও চটকদার প্রোফাইলের পরিবর্তে বিশ্বাসযোগ্য উপস্থাপনাকেই বেশি গুরুত্ব দেন",neutral,neutral
" বিশ্ববিদ্যালয়টির কমিউনিকেশনস স্টাডিজ বিভাগের শিক্ষক অ্যান্ডি হাই বলেন, ‘আমরা দেখেছি, যিনি অনলাইনে নিজের সম্পর্কে সঠিক তথ্য দেন, অন্যরা তাঁর সঙ্গে যোগাযোগের ব্যাপারে আগ্রহী হয়ে ওঠেন",positive,positive
" অসাধারণ বা আকর্ষণীয় কারও সঙ্গে দেখা করার ব্যাপারে মানুষ আকর্ষণ বোধ করলেও তিনি আসলেই আছেন কি না, তাঁর সঙ্গে দীর্ঘস্থায়ী সম্পর্ক গড়ে তোলার আগে অবশ্যই ভেবে দেখতে পছন্দ করেন",neutral,neutral
 যুক্তরাষ্ট্রে ১৮ বছরের বেশি বয়সী প্রতি ১০ জনের একজন অনলাইনে বা মুঠোফোনে জীবনসঙ্গী খোঁজ করার মাধ্যমগুলোতে কোনো না কোনো সময়ে ঢুঁ মারেন,neutral,neutral
 গবেষণা প্রতিষ্ঠান পিউ রিসার্চ সেন্টার ২০১৩ সালে এ পরিসংখ্যান প্রকাশ করে,neutral,neutral
" আইওয়া বিশ্ববিদ্যালয়ের গবেষকেরা এক জরিপে দেখতে পান, ইতিবাচক ভাবমূর্তি রয়েছে, এমন প্রোফাইলের লোকজন অনলাইনে বেশি গ্রহণযোগ্যতা পান",positive,positive
" অনলাইনের পাশাপাশি যাঁদের বাস্তব জগতেও খুঁজে পাওয়া যায়, তাঁরাই এগিয়ে থাকেন",positive,positive
" এর মানে হলো, কেউ কারও সঙ্গে সম্পর্ক গড়ে তোলার আগে তাঁর ব্যাপারে বিস্তারিত তথ্য চান",positive,positive
 যেমন: তাঁর জীবিকা বা পেশা কী এবং আগ্রহের বিষয়বস্তুই বা কী কী ইত্যাদি,neutral,neutral
" অ্যান্ডি হাই বলেন, কেবল ‘আমি লেখালেখি করি’—এটুকু জানানোর পরিবর্তে কেউ যদি স্পষ্ট জানিয়ে দেন, তিনি কোথায় কী লেখেন, তাহলে যে কেউ তাঁর লেখা যাচাই করে নেওয়ার সুযোগ পান",neutral,neutral
 এতে করে ব্যক্তি হিসেবে ওই লেখকের গ্রহণযোগ্যতা বাড়বে,positive,positive
" যদি আপনি কোনো প্রতিষ্ঠানে কাজ করেন, সেটির নাম জানিয়ে দিন",neutral,neutral
 ওই প্রতিষ্ঠানে কর্মরত কারও ঠিকানা বা ওয়েবলিংক দেওয়াটা বিশ্বাসযোগ্যতা অর্জনে সহায়ক হতে পারে,positive,positive
 এসব স্পষ্টতার মাধ্যমে অজানা কারও কাছে নিজেকে বাস্তব জগতের একজন মানুষ বা আসল ব্যক্তি হিসেবে তুলে ধরতে পারেন,positive,positive
" ব্যক্তিগত প্রোফাইল যে কেবল জীবনসঙ্গী বাছাইয়ের জন্যই কাজে লাগে, তা নয়",negative,negative
" অন্যের সঙ্গে যোগাযোগ, পেশাগত অগ্রগতি ও ব্যবসায়িক সুযোগ লাভ করার জন্যও অনলাইনে নিজের প্রোফাইল তৈরি করেন",neutral,neutral
 লিংকডইনের মতো অনলাইন যোগাযোগ মাধ্যমগুলো পেশাগত পর্যায়ে বেশ কাজে লাগে,positive,positive
 ২০১৪ সালের নভেম্বর পর্যন্ত লিংকডইনে প্রোফাইল তৈরি করেছিল ৩৩ কোটি ২০ লাখ মানুষ,neutral,neutral
" একাধিক গবেষণায় দেখা যায়, নিজেদের অর্জন ও সাফল্য সম্পর্কে অতিরঞ্জিত তথ্য দিয়ে অনেকেই এসব প্রোফাইল তৈরি করেন",neutral,neutral
 কেউ কেউ আবার অসত্য তথ্য দিয়ে অন্যের নজর কাড়ার চেষ্টা করেন,negative,mildly negative
 ব্যক্তিগত এসব প্রোফাইলের মধ্য দিয়ে মানুষের স্বভাব ও দৃষ্টিভঙ্গি যাচাই করার চেষ্টা চালান অ্যান্ডি হাই ও তাঁর সহযোগীরা,neutral,neutral
" তাঁরা খোঁজ নেন, লোকজন সম্ভাব্য জীবনসঙ্গীর প্রোফাইলে কী দেখতে চান, কার সঙ্গে সরাসরি দেখা করতে চান, কথা বলতে আগ্রহ বোধ করেন ইত্যাদি",neutral,neutral
 এ জন্য তাঁরা আটটি প্রোফাইল তৈরি করেন (চারটি নারী পরিচয়ে ও চারটি পুরুষ পরিচয়ে),neutral,neutral
 কয়েকটি প্রোফাইলে একজন মানুষের জীবনের বিভিন্ন তথ্য তুলে ধরা হয়,neutral,neutral
 কয়েকটিতে কেবল সাফল্য ও ভালো ভালো কথা লিখে একজন মানুষকে অত্যন্ত আকর্ষণীয়ভাবে উপস্থাপন করা হয়,positive,mildly positive
 তারপর সেগুলোর প্রতি অন্যদের সাড়া দেওয়ার ধরন ও সংখ্যা বিবেচনায় নেওয়া হয়,neutral,neutral
" এতে দেখা যায়, বাস্তবমুখী প্রোফাইলের প্রতিই সবাই বেশি আগ্রহ বোধ করেন ও আস্থা রাখেন",positive,strongly positive
" গবেষকেরা বলছেন, আপনার সেরা বৈশিষ্ট্যগুলোই অন্যের কাছে তুলে ধরতে হবে",positive,mildly positive
 সূত্র: সায়েন্স ডেইলি,neutral,neutral
প্রতিদ্বন্দ্বী অ্যাপল ও মাইক্রোসফটে হুঁশিয়ার করে দিল গুগল,negative,negative
 তিন মাসের মধ্যে প্যাচ এনে সফটওয়্যারের বাগ বা দুর্বলতা ঠিক না করালে সেই সফটওয়্যারের দুর্বলতা ফাঁস করে দেওয়া হবে বলে সতর্ক করেছে গুগল,negative,negative
 এক খবরে এ তথ্য জানিয়েছে ব্লুমবার্গ নিউজ,neutral,neutral
 গুগলের শীর্ষ পর্যায়ের একটি হ্যাকার দল ও প্রোগ্রামাররা নিজস্ব ও প্রতিদ্বন্দ্বী প্রতিষ্ঠানের সফটওয়্যার ত্রুটি ধরতে কাজ করেন,negative,negative
 ত্রুটি বের করার পর সংশ্লিষ্ট প্রতিষ্ঠানকে বাগ দূর করার জন্য তিন মাসের সময় বেঁধে দেন তাঁরা,negative,negative
 ইন্টারনেটকে নিরাপদ করতেই গুগলের এই উদ্যোগ,positive,positive
" গুগলের দাবি, তাঁরা চান সফটওয়্যার নির্মাতা প্রতিষ্ঠানগুলো মানুষের কল্যাণে দ্রুত সফটওয়্যারের দুর্বলতা ঠিক করে ফেলুক কারণ সাইবার দুর্বৃত্তরা তা না হলে সর্বনাশ ঘটিয়ে ফেলতে পারে",negative,negative
 সাইবার দুর্বৃত্তরা আগে সফটওয়্যারের বাগ খুঁজে পেলে তা দ্রুত কাজে লাগিয়ে অঘটন ঘটিয়ে ফেলবে,negative,negative
 এই স্পর্শকাতর বিষয়টি নিয়ে অ্যাপল ও মাইক্রোসফট অবশ্য সরাসরি কোনো মন্তব্য করেনি,neutral,neutral
" তবে প্রযুক্তি বিশ্লেষকেরা বলছেন, গুগলের এই ‘মাতব্বরি’ ভালোভাবে গ্রহণ করছে না অ্যাপল ও মাইক্রোসফট",negative,negative
" তারা ভাবছে এই নিরাপত্তার বিষয়টি নিয়ে গুগলের ধাঁধা খেলার দরকার কী? সফটওয়্যার নিরাপত্তা প্রতিষ্ঠান ডেনিম গ্রুপের কর্মকর্তা জন ডিকসন এ প্রসঙ্গে বলেন, ‘সফটওয়্যার দুর্বলতা বের করার এই খেলার মার্কেটপ্লেসে গুগলকে অফিশিয়াল রেফারি কে বানাল?’ গত বছরের জুলাই মাসে গুগল ‘প্রজেক্ট জিরো’ নামের এই প্রকল্প হাতে নেয়",neutral,neutral
" গুগলের দাবি, তাঁরা সবাইকে সাহায্য করতে এ পদক্ষেপ নিয়েছে",positive,positive
 এখানে তাদের নিজস্ব পণ্যের নিরাপত্তার বিষয়টিও জড়িত,positive,positive
" অবশ্য গুগলের এই প্রকল্প নিয়ে নিরাপত্তা বিশেষজ্ঞরা বলছেন, এ তো সরকারি সংস্থার কাজ! তাদের জন্যই উপযুক্ত",neutral,neutral
 কিন্তু গুগল এখানে মাতব্বরি করছে কেন? বিব্রত মাইক্রোসফট এর আগেও সফটওয়্যারের ত্রুটি জনসম্মুখে এনে মাইক্রোসফটকে বিব্রতকর অবস্থায় ফেলেছিল গুগল,negative,negative
 ‘প্রজেক্ট জিরো’ প্রকল্পের মাধ্যমে উইন্ডোজের বাগ বা সফটওয়্যার ত্রুটি বের করতে কাজ করছে গুগল,negative,mildly negative
 এর আগে উইন্ডোজ ৭ ও উইন্ডোজ ৮.১ অপারেটিং সিস্টেমের একটি বড় ধরনের নিরাপত্তা ত্রুটির কথা প্রকাশ করে গুগল,negative,negative
" মাইক্রোসফটের বক্তব্য হচ্ছে, গুগল যা করছে তা ঠিক নয়",negative,negative
 এ ধরনের নিরাপত্তা ত্রুটির কথা প্রকাশ পেলে গ্রাহকের নিরাপত্তা আরও বেশি বিঘ্নিত হতে পারে,negative,negative
 তাই বিষয়টি নিয়ে গুগল ও মাইক্রোসফট একত্রে গোপনে কাজ করতে পারে! প্রজেক্ট জিরো উদ্যোগের মাধ্যমে বিভিন্ন প্রতিষ্ঠানের সফটওয়্যারের নিরাপত্তা ত্রুটি বের করে তা ঠিক করার জন্য তিন মাসের সময় বেঁধে দেয় গুগল,negative,negative
" যদি ওই সময়ে মধ্যে বাগ ঠিক করা না হয়, তখন তা জনসম্মুখে ফাঁস করে দেয় প্রতিষ্ঠানটি",negative,negative
 গুগল গত বছরের ১৭ অক্টোবর মাইক্রোসফটকে প্রথম বাগের কথা জানিয়েছিল এবং তিন মাসের মধ্যে তা ঠিক করার জন্য সময়সীমা নির্ধারণ করে দিয়েছিল,negative,negative
" মাইক্রোসফট জানিয়েছিল, জানুয়ারি নাগাদ এই বাগ ঠিক করে ফেলা হবে কিন্তু কিছু সমস্যার কারণে এই প্যাচ আসতে ফেব্রুয়ারি মাস পর্যন্ত সময় লেগে যাবে",negative,negative
 কিন্তু গুগল তাদের নিয়ম থেকে সরে না এসে জনসম্মুখে ফাঁস করে দিয়েছে মাইক্রোসফটের দুর্বলতা,negative,negative
 গত মাসে গুগল উইন্ডোজের অপারেটিং সিস্টেমে দুটি বাগের অস্তিত্বের খবর ফাঁস করেছে যা কাজে লাগিয়ে সাইবার দুর্বৃত্তরা কম্পিউটার থেকে সহজেই তথ্য চুরি করে নিতে পারে,negative,negative
" গুগলের এই কাণ্ড নিয়ে মাইক্রোসফট কর্মকর্তারা মুখ খোলেনি ঠিকই, কিন্তু গুগলের প্রজেক্ট জিরো নিয়ে মাইক্রোসফট যে খুশি নয় তা তো বোঝায় যায়",negative,mildly negative
" প্রযুক্তি বিশ্লেষকেরা বলছেন, হাজার হোক অ্যাপল ও মাইক্রোসফটের সম্মানের জায়গায় গুগল হাত দিচ্ছে!",neutral,neutral
ফেসবুক ব্যবহারকারী মৃত্যুর আগে তার অ্যাকাউন্টের জন্য উত্তরাধিকারী ঠিক করে যেতে পারবেন,neutral,neutral
 গতকাল বৃহস্পতিবার ফেসবুক কর্তৃপক্ষ ‘লিগাসি কন্টাক্ট’ নামের একটি ফিচার উন্মুক্ত করেছে যাতে ভবিষ্যতে ফেসবুক অ্যাকাউন্টের মালিকানা কে পাবেন তা নির্ধারণ করে রাখা যাবে,positive,positive
 এক খবরে এ তথ্য জানিয়েছে বিবিসি অনলাইন,neutral,neutral
 বর্তমানে শুধু যুক্তরাষ্ট্রে ‘লিগাসি কন্টাক্ট’ ফিচারটি ব্যবহার করা যাচ্ছে তবে পরবর্তীতে সব ফেসবুক ব্যবহারকারীরা এই সুবিধা পেতে পারেন,positive,mildly positive
 এই ফিচারটি ব্যবহার করে উত্তরাধিকারী নির্বাচন করে রাখলে ফেসবুক ব্যবহারকারীর মৃত্যুর পর ওই অ্যাকাউন্টের মালিকানা পাবেন তিনি,neutral,neutral
 মনোনীত ব্যক্তি ফেসবুক অ্যাকাউন্ট মুছে ফেলার বা সচল রাখার সিদ্ধান্ত নিতে পারবেন,neutral,neutral
 তবে মনোনীত ব্যক্তি ফেসবুক ব্যবহারকারীর পূর্বের প্রকাশিত কোনো পোস্ট পরিবর্তন করা বা পুরোনো বার্তাগুলো আর দেখতে পারবেন না,negative,negative
" উত্তরাধিকার সূত্রে পাওয়া ফেসবুক অ্যাকাউন্ট ব্যবহার করে প্রোফাইলের ছবি ও কভারের ছবি হালনাগাদ করা যাবে, নতুন বন্ধুর আমন্ত্রণ গ্রহণ করা যাবে এবং পোস্ট লেখা যাবে",neutral,neutral
 ছবি ও পোস্ট আর্কাইভ থেকে তা ডাউনলোড ও তথ্য বিনিময় করা যাবে,neutral,neutral
" এই ফিচারটি সম্পর্কে ফেসবুক কর্তৃপক্ষ জানিয়েছে, যখন কোনো মানুষ পৃথিবী ছেড়ে যান তাঁর অ্যাকাউন্টটিই যাপিত জীবন, বন্ধুত্ব ও অভিজ্ঞতার স্মরণীকা হয়ে থাকে",neutral,neutral
 প্রিয়জন হারানো মানুষের সঙ্গে আমরা আলোচনা করে বুঝেছি তাঁদের ওই কষ্টকর অবস্থায় আমরা আরও খানিকটা পাশে থাকতে পারি এবং অ্যাকাউন্টের মালিকানা বুঝিয়ে দিতে পারি যাতে তাঁরাই অ্যাকাউন্ট বিষয়ে সিদ্ধান্ত নিতে পারেন,neutral,neutral
 লিগাসি কন্টাক্ট ব্যবহার করতে সেটিংস থেকে সিকিউরিটিতে যেতে হবে এবং সেখানে সবার নিচে এই ফিচারটি পাওয়া যাবে,neutral,neutral
 আরও পড়ুন: মারা গেলে গুগলে থাকা তথ্যের কী হবে? ,neutral,neutral
রাজধানীতে চলছে বইমেলা,neutral,neutral
 কিন্তু মেলার আয়োজক বাংলা একাডেমির ওয়েবসাইটে এর কোনো তথ্যই নেই,negative,negative
 http://www.banglaacademy.org.bd ঠিকানার ওয়েবসাইটের প্রথম পৃষ্ঠায় ‘অমর একুশে গ্রন্থমেলা ২০১৫’ ঘরটি ফাঁকা,negative,negative
 এতে ক্লিক করলে বইমেলার ওয়েবপেজে (http://www.banglaacademy.org.bd/GronthoMela) ঢোকা যায়,positive,positive
 পৃষ্ঠাটির ওপরে যে তিনটি বইয়ের ছবি ও পরিচিতি আছে সেগুলো পুরোনো,negative,negative
 এর নিচে বাঁ দিকের বক্সে লেখা আছে ‘অমর একুশে গ্রন্থমেলা ২০১৫: কোন আপডেট পাওয়া যায়নি,negative,negative
’ ২০০৬-২০১৪-এর গ্রন্থমেলার লিঙ্কে ক্লিক করে সে পেইজটিও পাওয়া যায়নি,negative,negative
 এর ডান দিকের ঘরে লেখা আছে ‘এবারের গ্রন্থমেলায় প্রকাশিত টপ ২০ লেখকের নাম ও বইয়ের সংখ্যা’ ও ‘এবারের গ্রন্থমেলায় প্রকাশিত টপ ২০ প্রকাশকের নাম ও বইয়ের সংখ্যা’,neutral,neutral
" দুটি লিঙ্কই ফাঁকা, কোনো তথ্য নেই",negative,negative
" আর ‘টপ ২০’ কী ধরনের ভাষা, তাও বোধগম্য নয়",negative,negative
 সাহিত্য পুরস্কার বিভাগে ২০১৩ সাল পর্যন্ত তথ্য রয়েছে,neutral,neutral
" গতকাল বৃহস্পতিবার ওয়েবসাইটে হালনাগাদ তথ্য না থাকার ব্যাপারে বাংলা একাডেমির মহাপরিচালক শামসুজ্জামান খান মুঠোফোনে বলেন, ‘আমি একটু খোঁজ নিয়ে দেখি",negative,negative
"’ সংশ্লিষ্ট ব্যক্তিদের সঙ্গে কথা বলে জানা যায়, ২০০৬ সালে বাংলা একাডেমির ওয়েবসাইটটি চালু হয়",neutral,neutral
 ২০০৮ পর্যন্ত সাইটটির তথ্য হালনাগাদ হলেও এরপর নিয়মিত হালনাগাদের কাজটি করা হয়নি,negative,negative
" বাংলা একাডেমির উপপরিচালক (জনসংযোগ) মুরশিদ উদ্দিন আহমেদ প্রথম আলোকে বলেন, ‘আসলে ওয়েবসাইটের প্রচারে আমার বিভাগের (সমন্বয় ও জনসংযোগ উপবিভাগ) নাম থাকলেও আমি এই ওয়েবসাইটের বিষয়ে কিছুই জানি না",negative,negative
 আমি মনে করি বাংলা একাডেমির ওয়েবসাইটটি তথ্যবহুল হওয়া উচিত,neutral,neutral
’ সাইটটির কারিগরি সহযোগিতায় আছে ঢাকার প্রফেশনালস সিস্টেমস নামের একটি প্রযুক্তি প্রতিষ্ঠান,positive,positive
" এর প্রধান নির্বাহী কর্মকর্তা হাসিব রহমান বলেন, ‘আজ (বৃহস্পতিবার) আমাদের ফোন করে ওয়েবসাইটটি হালনাগাদ করতে বলা হয়েছে",neutral,neutral
 তবে সময়মতো প্রয়োজনীয় তথ্য না পাওয়ায় হালনাগাদের কাজ ঠিকমতো হচ্ছে না,negative,mildly negative
’ গতকাল রাত ১০টায় এ প্রতিবেদন লেখা পর্যন্ত সাইটটিতে বইমেলার তথ্য হালনাগাদ হয়নি,negative,negative
 —রাহিতুল ইসলাম,neutral,neutral
সাইবার দুনিয়ার দুর্বৃত্তদের হামলা বেড়েই চলেছে,negative,strongly negative
" সাইবার নিরাপত্তার খাতিরে এবার ‘থ্রেটএক্সচেঞ্জ’ নামে একজোট হলো ফেসবুক, ইয়াহুর মতো বেশ কয়েকটি প্রতিষ্ঠান",positive,mildly positive
 সাইবার আক্রমণ ঠেকাতে এই প্রতিষ্ঠানগুলো পারস্পরিক তথ্য বিনিময়ে সহযোগিতা করবে,positive,mildly positive
 খবর এএফপির,neutral,neutral
" এক বিবৃতিতে ফেসবুক কর্তৃপক্ষ জানিয়েছে, ফেসবুক প্ল্যাটফর্মের বর্তমান অবকাঠামো ব্যবহার করে থ্রেটএক্সচেঞ্জ তৈরি করা হয়েছে",neutral,neutral
" এই জোটে চুক্তিবদ্ধ প্রতিষ্ঠানগুলো সাইবার হামলার হুমকি, বিপদ সম্পর্কে খোঁজখবর নিতে পারবে এবং তা প্রকাশ করতে পারবে",neutral,neutral
 প্রতিষ্ঠানগুলোর মধ্যে সাইবার হামলা-সংক্রান্ত তথ্য বিনিময় সহজ এবং সেবা নিরাপদ করার জন্য থ্রেটএক্সচেঞ্জ গঠন করা হয়েছে,positive,positive
" নিরাপত্তা নিয়ে একসঙ্গে কাজ করার সৌন্দর্য হচ্ছে, আমাদের প্রতিষ্ঠান সুরক্ষিত থাকলে অন্যদের প্রতিষ্ঠানও সুরক্ষিত থাকবে",positive,mildly positive
"’ ফেসবুকের বিবৃতিতে জানানো হয়েছে, ফেসবুকের এই থ্রেটএক্সচেঞ্জ উদ্যোগের সঙ্গে যুক্ত হয়েছে পিন্টারেস্ট, টাম্বলার, টুইটার",positive,positive
 এ ছাড়া বিটলি ও ড্রপবক্সও এতে যোগ দিচ্ছে,positive,positive
" ফেসবুক কর্তৃপক্ষ জানিয়েছে, নিরাপদ ইন্টারনেট ব্যবস্থা গড়ে তুলতে এবং মানুষের হাতে তথ্য বিনিময় ও সংযোগের আরও উন্নত সেবা পৌঁছে দিতে আমরা কাজ করছি",positive,mildly positive
 আমাদের সহযোগী কয়েকটি প্রতিষ্ঠানের সঙ্গে মিলে থ্রেটএক্সচেঞ্জ উদ্যোগটি নেওয়া হয়েছে যাতে পরস্পরকে আমরা সহযোগিতা করতে পারি,positive,mildly positive
"শৌখিন যে আলোকচিত্রীরা মহাকাশের ছবি তোলেন, তাঁদের কথা মাথায় রেখে নাইকন তাঁদের নতুন ডিএসএলআর ডি৮১০ এ মডেলটির ঘোষণা দিয়েছে",positive,positive
 এই ক্যামেরায় মহাকাশের বস্তুগুলো থেকে নির্গত এইচ-আলফা তরঙ্গদৈর্ঘ্যের আলো ধারণ করতে পারে বলে তারার ছবি তোলা সহজ হয়,neutral,neutral
  এ বছরের মে মাসে এ ক্যামেরাটি বাজারে ছাড়বে নাইকন,neutral,neutral
 তবে এখনো এর দাম ঘোষণা করেনি প্রতিষ্ঠানটি,negative,negative
"  নাইকন কর্তৃপক্ষ জানিয়েছে, ডি৮১০ এ ক্যামেরায় থাকছে ৩৬ দশমিক ৩ মেগাপিক্সেলের নাইকন এফএক্স-ফরম্যাট সিএমওএস সেন্সর",positive,positive
" এই ক্যামেরার আইএসও সেনসিভিটি রেঞ্জ হবে ২০০ থেকে ১২ হাজার ৮০০, যা লো ১ (আইএসও ১০০ সমান) ও হাই ২ (আইএসও ৫১,২০০) করা যাবে",neutral,neutral
"  নতুন এ ক্যামেরার বিশেষত্ব হচ্ছে মহাকাশের নীহারিকা ধরতে পারার সক্ষমতা, যা আইআর কাট ফিল্টার নামের একটি অপটিক্যাল ফিল্টার ব্যবহার করে এইচ-আলফা তরঙ্গদৈর্ঘ্যের আলো ধারণ করতে পারে",neutral,neutral
 এই ফিচারটি মহাকাশপ্রেমীদের রাতের আকাশের সুন্দর ছবি তুলতে সাহায্য করবে,positive,mildly positive
"  |ক্যামেরাটিকে ম্যানুয়াল মোডে নিয়ে এর শাটারের গতি অনেক কমিয়ে আনা যায়, ফলে এক্সপোজার পাওয়ার জন্য দীর্ঘ সময় মেলে",positive,mildly positive
"  নাইকন ইন্ডিয়ার ব্যবস্থাপনা পরিচালক হিরোশি তাকাসিনা এ ক্যামেরা প্রসঙ্গে জানিয়েছেন, ‘নাইকন ডি৮১০ এ নামের এই ক্যামেরার ঘোষণা দিতে পেরে আমরা রোমাঞ্চিত",positive,mildly positive
 উঁচু মানের হাইডেফিনেশন এই ডিএসএলআর মহাকাশপ্রেমীদের মহাকাশের সৌন্দর্য ধারণ করতে সাহায্য করবে,positive,positive
 আরও পড়ুন: ক্যাননের ৫০ মেগাপিক্সেলের ক্যামেরা!,neutral,neutral
"এ সপ্তাহের মধ্যে যাঁরা গুগলে ‘সিকিউরিটি সেটিংস রিভিউ’ করে দেখবেন, তাঁদের ক্লাউডে আরও অতিরিক্ত দুই গিগাবাইট জায়গা দেবে গুগল",positive,positive
" জিমেইল, গুগল ড্রাইভ ও গুগল প্লাস ব্যবহারকারীরা এই সুবিধা পাবেন",positive,positive
  ১০ ফেব্রুয়ারি নিরাপদ ইন্টারনেট দিবস উপলক্ষে গুগলে নিরাপত্তা পরীক্ষাবিষয়ক একটি টুল উন্মুক্ত করার তথ্য একটি ব্লগ পোস্টে প্রকাশ করেছে গুগল কর্তৃপক্ষ,positive,positive
" গুগলের পণ্য ব্যবস্থাপক আদ্রেস টুরেক জানিয়েছেন, মাত্র কয়েক মিনিটে অ্যাকাউন্ট সেটিংস রিভিউ করলেই দুই গিগাবাইট অতিরিক্ত জায়গা পাবেন",positive,positive
"  গুগল জানিয়েছে, এই টুলটির ব্যবহারকারীকে গুগলে তাঁদের ফোন নম্বর যুক্ত করতে উৎসাহিত করবে",positive,positive
" এ টুল থেকে গুগল অ্যাকাউন্ট হ্যাক হয়েছে কি না, সে তথ্য জেনে নিতে পারবেন ব্যবহারকারী",positive,positive
" এ ছাড়া গুগল অ্যাকাউন্ট সংযুক্ত অ্যাপ, ওয়েবসাইট ও যন্ত্র পরীক্ষা করে দেখার সুযোগ মিলবে এতে",positive,positive
 ১৭ ফেব্রুয়ারি পর্যন্ত এই দুই জিবি জায়গা নেওয়ার সুযোগ থাকবে,positive,positive
" ২৮ ফেব্রুয়ারির মধ্যে ইমেইলে মাধ্যমে যাঁরা অতিরিক্ত জায়গা পাবেন, তাঁদের জানিয়ে দেবে গুগল",positive,positive
  সাধারণত গুগল ব্যবহারকারীরা প্রতি অ্যাকাউন্টে ১৫ গিগাবাইট পর্যন্ত জায়গা বিনা মূল্যে পান,positive,strongly positive
 প্রতি মাসে ১.৯৯ ডলার খরচ করে ১০০ গিগাবাইট পর্যন্ত জায়গা কেনার সুযোগ দেয় গুগল,neutral,neutral
" যাঁরা গুগলের এই সুযোগ নিতে চান না, তাঁদেরও নিরাপত্তার কথা মাথায় রেখে নিরাপত্তা আপডেট করে নেওয়ার পরামর্শ দিয়েছে গুগল কর্তৃপক্ষ",neutral,neutral
 নিরাপত্তার পরীক্ষায় যেতে পারেন এই লিংকে ,neutral,neutral
"দেশের অনেক তরুণই আছেন, যাঁরা নতুন নতুন ধারণার তথ্যপ্রযুক্তি-উদ্যোগ নিয়ে কাজ করছেন",positive,strongly positive
 কিন্তু নতুন উদ্যোগে বড় সমস্যা পুঁজি,negative,strongly negative
 উদ্যোক্তাদের ঘুরতে হয় বিনিয়োগকারীর দ্বারে,negative,mildly negative
 ডিজিটাল ওয়ার্ল্ডে গতকাল বুধবার অবশ্য এর উল্টো ছবিই দেখা গেল,negative,mildly negative
